fase,home_team,away_team,clasifica_local,prediccion_modelo,prob_equipo_1,prob_equipo_2,clasificado_real,clasificado_predicho,resultado_prediccion
Octavos de final,Brazil,Japan,1,1,0.695,0.305,Brazil,Brazil,CORRECTO
Octavos de final,Germany,Paraguay,0,1,0.84,0.16,Paraguay,Germany,INCORRECTO
Octavos de final,Mexico,Ecuador,1,1,0.785,0.215,Mexico,Mexico,CORRECTO
Octavos de final,Ivory Coast,Norway,0,1,0.72,0.28,Norway,Ivory Coast,INCORRECTO
Octavos de final,France,Sweden,1,1,0.64,0.36,France,France,CORRECTO
Octavos de final,England,DR Congo,1,1,0.75,0.25,England,England,CORRECTO
Octavos de final,Belgium,Senegal,1,1,0.71,0.29,Belgium,Belgium,CORRECTO
Octavos de final,United States,Bosnia and Herzegovina,1,1,0.785,0.215,United States,United States,CORRECTO
Cuartos de final,Portugal,Croatia,1,1,0.895,0.105,Portugal,Portugal,CORRECTO
Cuartos de final,Spain,Austria,1,1,0.92,0.08,Spain,Spain,CORRECTO
Cuartos de final,Switzerland,Algeria,1,1,0.86,0.14,Switzerland,Switzerland,CORRECTO
Cuartos de final,Australia,Egypt,0,0,0.355,0.645,Egypt,Egypt,CORRECTO
Semifinal,Argentina,Cape Verde,1,1,0.95,0.05,Argentina,Argentina,CORRECTO
Semifinal,Colombia,Ghana,1,1,0.905,0.095,Colombia,Colombia,CORRECTO
Final,Paraguay,France,0,0,0.25,0.75,France,France,CORRECTO
